ID	Target	Pred
36450	1	1	
38646	1	1	
19995	1	1	
22330	1	1	
33380	1	1	
30758	1	1	
44547	1	4	
70356	3	3	
18195	1	1	
25207	1	1	
30910	1	1	
30497	1	1	
81416	3	3	
42904	1	2	
78381	3	3	
39200	1	3	
22662	1	6	
82181	3	3	
24947	1	4	
21398	1	1	
27249	1	6	
76484	3	4	
73747	3	4	
82546	3	3	
19291	1	1	
46757	1	1	
17711	1	1	
23637	1	1	
82301	3	3	
28912	1	1	
77750	3	4	
17375	1	6	
32032	1	1	
80479	3	3	
39989	1	5	
66674	3	3	
83443	3	3	
78313	3	3	
75561	3	3	
32128	1	1	
20964	1	1	
81093	3	3	
19172	1	1	
84141	3	3	
34179	1	1	
25855	1	1	
66735	3	3	
79421	3	3	
80233	3	3	
73325	3	3	
41349	1	1	
81150	3	3	
45214	1	1	
82848	3	3	
66923	3	3	
46229	1	4	
36687	1	1	
31886	1	1	
27143	1	4	
46289	1	4	
72429	3	3	
82959	3	5	
130063	4	4	
46199	1	2	
88113	4	4	
33364	1	6	
83201	3	3	
81297	3	3	
97050	4	4	
42595	1	1	
44774	1	6	
125616	4	4	
77995	3	3	
73860	3	3	
113482	4	4	
86343	4	4	
122175	4	4	
110200	4	4	
86569	4	5	
121800	4	5	
98504	4	4	
94807	4	6	
129953	4	4	
43552	1	4	
26461	1	3	
114378	4	5	
16576	1	1	
43862	1	1	
111701	4	4	
128829	4	4	
90464	4	4	
85252	4	4	
132111	4	0	
111352	4	6	
19148	1	1	
75480	3	3	
87874	4	4	
126228	4	4	
128687	4	4	
108741	4	4	
69991	3	3	
100043	4	4	
119998	4	4	
75948	3	3	
74382	3	0	
90578	4	4	
66659	3	5	
81756	3	3	
79558	3	3	
104141	4	5	
92751	4	5	
44544	1	1	
132077	4	4	
79258	3	4	
134194	4	4	
102368	4	5	
126500	4	4	
92261	4	5	
121120	4	4	
23583	1	2	
127990	4	2	
110189	4	4	
107425	4	5	
130601	4	2	
111097	4	4	
99182	4	6	
98480	4	5	
27618	1	1	
119121	4	4	
91149	4	5	
81271	3	3	
126191	4	4	
83280	3	3	
36621	1	1	
119732	4	4	
102858	4	1	
96078	4	4	
34413	1	6	
116799	4	4	
120789	4	4	
