ID	Target	Pred
36450	1	1	
38646	1	1	
19995	1	4	
22330	1	1	
33380	1	1	
30758	1	4	
44547	1	3	
70356	3	3	
18195	1	3	
25207	1	1	
30910	1	1	
30497	1	1	
81416	3	3	
42904	1	4	
78381	3	3	
39200	1	1	
22662	1	4	
82181	3	5	
24947	1	4	
21398	1	1	
27249	1	6	
76484	3	4	
73747	3	5	
82546	3	4	
19291	1	1	
46757	1	1	
17711	1	6	
23637	1	2	
82301	3	3	
28912	1	1	
77750	3	5	
17375	1	1	
32032	1	1	
80479	3	3	
39989	1	2	
66674	3	1	
83443	3	2	
78313	3	3	
75561	3	6	
32128	1	6	
20964	1	1	
81093	3	6	
19172	1	1	
84141	3	3	
34179	1	1	
25855	1	1	
66735	3	3	
79421	3	4	
80233	3	3	
73325	3	3	
41349	1	4	
81150	3	1	
45214	1	4	
82848	3	1	
66923	3	4	
46229	1	2	
36687	1	1	
31886	1	3	
27143	1	6	
46289	1	6	
72429	3	3	
82959	3	4	
130063	4	4	
46199	1	1	
88113	4	5	
33364	1	1	
83201	3	3	
81297	3	3	
97050	4	4	
42595	1	3	
44774	1	4	
125616	4	3	
77995	3	4	
73860	3	6	
113482	4	6	
86343	4	5	
122175	4	4	
110200	4	2	
86569	4	4	
121800	4	4	
98504	4	0	
94807	4	4	
129953	4	5	
43552	1	1	
26461	1	1	
114378	4	2	
16576	1	1	
43862	1	0	
111701	4	4	
128829	4	0	
90464	4	4	
85252	4	4	
132111	4	4	
111352	4	4	
19148	1	1	
75480	3	3	
87874	4	4	
126228	4	4	
128687	4	4	
108741	4	4	
69991	3	3	
100043	4	4	
119998	4	4	
75948	3	5	
74382	3	6	
90578	4	3	
66659	3	3	
81756	3	4	
79558	3	3	
104141	4	5	
92751	4	4	
44544	1	1	
132077	4	4	
79258	3	5	
134194	4	4	
102368	4	4	
126500	4	4	
92261	4	2	
121120	4	4	
23583	1	4	
127990	4	5	
110189	4	1	
107425	4	5	
130601	4	4	
111097	4	5	
99182	4	5	
98480	4	5	
27618	1	1	
119121	4	4	
91149	4	3	
81271	3	3	
126191	4	4	
83280	3	3	
36621	1	1	
119732	4	3	
102858	4	4	
96078	4	4	
34413	1	3	
116799	4	1	
120789	4	5	
